ticker,n,spec,window,dep,shock,regime,cov_type,r2,n_high,n_low,shock_beta,shock_se,shock_ci_low,shock_ci_high,shock_t,shock_p,high_beta,high_se,high_ci_low,high_ci_high,high_t,high_p,inter_beta,inter_se,inter_ci_low,inter_ci_high,inter_t,inter_p,beta_high_regime,beta_high_regime_se,beta_high_regime_p,beta_low_regime,threshold,sample
XLI,213,baseline_thr2.0,m1_p1,car_adj,surprise_bps,high_inflation,HC1,0.021723705190666576,132,82,-1.2453105916498453,0.7224607133559929,-2.661307570072707,0.1706863867730165,-1.7237070038938127,0.08476074999730504,-0.06878803817651458,0.14377074429156508,-0.3505735190184997,0.21299744266547055,-0.47845643782029385,0.6323253724274802,1.314760874159586,0.800163412283054,-0.2535305956618744,2.8830523439810465,1.64311546113845,0.10035904652526959,0.06945028250974067,0.34396512034450616,0.8399864363108088,-1.2453105916498453,2.0,baseline
XLK,213,baseline_thr2.0,m1_p1,car_adj,surprise_bps,high_inflation,HC1,0.04439418246592963,132,82,-0.9558850840567654,0.731691815997877,-2.389974691195312,0.4782045230817817,-1.3064039574545945,0.1914152207571178,0.273438313287615,0.20610767460079366,-0.13052530586724143,0.6774019324424714,1.3266770090790305,0.18461554940738856,-0.5083002030028755,1.3355739514467433,-3.1259770465283387,2.109376640522588,-0.38058559202376313,0.7035107740348776,-1.4641852870596408,1.1173114454729243,0.190042285682831,-0.9558850840567654,2.0,baseline
XLP,213,baseline_thr2.0,m1_p1,car_adj,surprise_bps,high_inflation,HC1,0.02951299555221365,132,82,0.041206344164391576,0.7182379909569523,-1.3665142504396401,1.4489269387684232,0.05737143493271617,0.9542493171331126,0.09509944585030675,0.22478026268961523,-0.3454617734567915,0.5356606651574051,0.42307738549813656,0.6722388013542333,1.3955893614594328,1.4618128291385901,-1.4695111357908075,4.260689858709673,0.9546977107061092,0.33973058791708577,1.4367957056238243,1.273197131547306,0.25911122279793264,0.041206344164391576,2.0,baseline
XLRE,72,baseline_thr2.0,m1_p1,car_adj,surprise_bps,high_inflation,HC1,0.0326681177316368,42,30,-2.777757767933689,2.1719673209342703,-7.034735492562808,1.4792199566954296,-1.27891324199981,0.20092760899496664,-0.5034668887699104,0.49015319055382495,-1.4641494891628055,0.4572157116229847,-1.027162320826765,0.304344037116959,3.6495474886149717,2.938599279306527,-2.110001263821181,9.409096241051124,1.2419343849686846,0.21426077220429596,0.8717897206812826,1.9793745681741137,0.6596206596752376,-2.777757767933689,2.0,baseline
XLU,213,baseline_thr2.0,m1_p1,car_adj,surprise_bps,high_inflation,HC1,0.01336843703645385,132,82,0.23321772224648413,1.4142335938283588,-2.5386291873837465,3.0050646318767145,0.16490749708127003,0.8690167913765884,-0.24321961873514364,0.257243476284933,-0.7474075675114958,0.26096833004120856,-0.9454841080818859,0.3444117803612172,0.6836658147577738,1.7606327596567155,-2.7671109841707535,4.134442613686301,0.38830688058483787,0.6977889460147824,0.9168835370042581,1.0486996979420495,0.38195210050367656,0.23321772224648413,2.0,baseline
XLV,213,baseline_thr2.0,m1_p1,car_adj,surprise_bps,high_inflation,HC1,0.016348806649073566,132,82,0.9517075692057444,0.9927573549833341,-0.9940610919488357,2.8974762303603248,0.9586507361828825,0.3377347239227212,-0.07588991397543522,0.19159335515296552,-0.45140598975243923,0.2996261618015688,-0.396098883047618,0.6920320822632007,-0.24551175281228368,1.1265927351753902,-2.453592939000519,1.9625694333759516,-0.21792413988366607,0.8274882182261953,0.7061958163934607,0.5325824115350237,0.18484495985840343,0.9517075692057444,2.0,baseline
XLY,213,baseline_thr2.0,m1_p1,car_adj,surprise_bps,high_inflation,HC1,0.03951017764428777,132,82,-1.6304880223148188,0.6840214481794774,-2.9711454253995253,-0.2898306192301121,-2.3836796735750925,0.017140514919009787,0.09681078507446254,0.17297595081458184,-0.24221584871368967,0.4358374188626148,0.5596777159978554,0.5756992847358917,0.6434634514075248,1.11982261513464,-1.5513485433298273,2.838275446144877,0.5746119454197298,0.5655537714303828,-0.9870245709072939,0.8866325889552192,0.2656103519317735,-1.6304880223148188,2.0,baseline
GLD,152,ex_emergency_thr2.0,d0_p1,car_raw,surprise_bps,high_inflation,HC1,0.059187039520331,84,68,-4.394552443210129,1.1322189095019735,-6.613660728449212,-2.175444157971046,-3.8813628763214623,0.00010387271440618061,0.36953148943522846,0.3331791371407558,-0.28348761976078446,1.0225505986312413,1.109107528779976,0.2673837974052793,3.9604049364064786,1.7869558420055207,0.4580358441122111,7.462774028700747,2.216285843953296,0.026671931904697188,-0.43414750680365044,1.3824946734956414,0.7534967679898641,-4.394552443210129,2.0,ex_emergency
IEF,171,ex_emergency_thr2.0,d0_p1,car_raw,surprise_bps,high_inflation,HC1,0.11164259185387171,97,74,-1.9369660696258635,0.34258534648099825,-2.6084210103597956,-1.2655111288919312,-5.653966491918529,1.5678678942048307e-08,0.06804979321557485,0.1189557317963933,-0.16509915685996218,0.30119874329111185,0.5720598090392993,0.5672814562466931,1.3315648830584905,0.5849587916507573,0.18506671898293695,2.4780630471340443,2.276339636337128,0.022825689533623687,-0.6054011865673729,0.47414351024347945,0.20166187814188796,-1.9369660696258635,2.0,ex_emergency
QQQ,198,ex_emergency_thr2.0,d0_p1,car_adj,surprise_bps,high_inflation,HC1,0.0028057772461124175,119,79,-0.35855666657231583,0.4816257721222951,-1.3025258339583097,0.5854125008136778,-0.7444715115479132,0.45659126993760857,-0.01621610016098817,0.17846497979583345,-0.36600103306249016,0.3335688327405138,-0.0908643263207136,0.9276003963662306,0.06446181624143255,0.7369900194621701,-1.3800120788698942,1.5089357113527595,0.08746633541723477,0.9303008432942077,-0.2940948503308833,0.5578448748661698,0.5980559131935534,-0.35855666657231583,2.0,ex_emergency
