ticker,n,spec,window,dep,shock,cov_type,alpha,r2,beta,se,ci_low,ci_high,t,p,sample,dep_mode
XLRE,72,baseline,m5_p5,car_adj,surprise_bps,HC1,-0.8435045112457047,0.00410535720104066,1.0328434685206465,3.431982607931898,-5.693718838593722,7.759405775635014,0.30094659166790905,0.7634552211846217,baseline,auto
XLF,213,baseline,m5_p5,car_adj,surprise_bps,HC1,-0.1339002629957401,0.011431460920505954,1.3050644433084764,1.2411081725504522,-1.127462875808733,3.737591762425686,1.0515315845729991,0.2930145110514515,baseline,auto
XLU,213,baseline,m5_p5,car_adj,surprise_bps,HC1,-0.07302486500751473,0.016233337647970303,1.6483699658572062,1.0888746813948798,-0.485785193354284,3.782525125068696,1.5138289043010873,0.1300692396537169,baseline,auto
XLP,213,baseline,m5_p5,car_adj,surprise_bps,HC1,0.04213002261541593,0.01960073818529784,1.6620610020763218,1.094038956944998,-0.482215951219641,3.8063379553722845,1.5191972749466551,0.12871284705159736,baseline,auto
XLE,213,baseline,m5_p5,car_adj,surprise_bps,HC1,-0.3317624541592824,0.017856333478621034,2.884228851123109,2.5034430908366154,-2.022429444262292,7.79088714650851,1.1521048198300528,0.2492780027883965,baseline,auto
TLT,183,baseline,m5_p5,car_raw,surprise_bps,HC1,0.2585264190616967,0.1048504152985057,-4.3730222496251345,1.168228588672771,-6.662708209133822,-2.0833362901164465,-3.7432933006658757,0.00018162401630272487,baseline,car_raw
QQQ,212,baseline,m5_p5,car_raw,surprise_bps,HC1,0.17497672814232473,0.026591373784204286,-4.0337308201577535,2.7600358045650952,-9.443301593146373,1.3758399528308645,-1.4614777147042688,0.14388438698284534,baseline,car_raw
XLK,213,baseline,m5_p5,car_raw,surprise_bps,HC1,0.30269386929776676,0.022571257310770032,-3.6319857816944205,2.8718299717429265,-9.260669096033238,1.9966975326443968,-1.264693877224964,0.205981085656876,baseline,car_raw
GLD,164,baseline,m5_p5,car_raw,surprise_bps,HC1,0.05628871128082463,0.02588435696206448,-3.039129553569277,1.9736804792878144,-6.907472209963146,0.8292131028245917,-1.5398285515120058,0.12360215037990473,baseline,car_raw
IEF,183,baseline,m5_p5,car_raw,surprise_bps,HC1,0.2125616264532601,0.1282467019373007,-2.3148098363271545,0.5492213406922954,-3.3912638836248563,-1.2383557890294528,-4.214712111166927,2.5009700633406243e-05,baseline,car_raw
XLY,213,baseline,m5_p5,car_raw,surprise_bps,HC1,0.061746407053122204,0.0036574564727547276,-1.359980657674703,2.540574452680134,-6.339415084970327,3.6194537696209195,-0.5353043900130601,0.5924393911993141,baseline,car_raw
SPY,214,baseline,m5_p5,car_raw,surprise_bps,HC1,0.13621471948587274,0.002361576130098575,-0.9271581801891973,2.501308891166909,-5.829633521086156,3.975317160707762,-0.3706692058159438,0.710883929158028,baseline,car_raw
XLV,213,baseline,m5_p5,car_raw,surprise_bps,HC1,0.2163247964426669,0.0023674494124982237,-0.8398978592706571,2.219402082770288,-5.189846008713605,3.510050290172291,-0.3784342935383232,0.7051079965464584,baseline,car_raw
XLI,213,baseline,m5_p5,car_raw,surprise_bps,HC1,0.09190070466720421,0.00039570762809160165,-0.44897145106375785,3.254058912821683,-6.82680972376582,5.928866821638304,-0.13797274821753075,0.8902619553028175,baseline,car_raw
XLB,213,baseline,m5_p5,car_raw,surprise_bps,HC1,-0.06315997385149219,0.00017215378914636759,-0.3075682790635988,2.9020623835361183,-5.995506031682857,5.380369473555659,-0.1059826559237612,0.9155961132433857,baseline,car_raw
XLF,213,baseline,m5_p5,car_raw,surprise_bps,HC1,-0.03673085462590481,0.00018501967691486598,0.34757521066102187,3.4060694093714075,-6.328198160550551,7.023348581872595,0.10204583902627139,0.9187202906838247,baseline,car_raw
XLU,213,baseline,m5_p5,car_raw,surprise_bps,HC1,0.02414454336232061,0.001235962500483856,0.6908807332097507,2.996237195007508,-5.18163625814428,6.563397724563782,0.23058279042825228,0.8176389386101998,baseline,car_raw
XLP,213,baseline,m5_p5,car_raw,surprise_bps,HC1,0.13929943098525133,0.0023542934472324806,0.7045717694288646,1.7893390660234598,-2.802468356107654,4.211611894965383,0.39376090468681857,0.6937575708552783,baseline,car_raw
XLE,213,baseline,m5_p5,car_raw,surprise_bps,HC1,-0.23459304578944695,0.00359113962059876,1.9267396184756522,4.635494882834723,-7.158663402400123,11.012142639351428,0.41564917385852057,0.6776667382034698,baseline,car_raw
XLRE,72,baseline,m5_p5,car_raw,surprise_bps,HC1,-0.9878150767467728,0.08573772713367,9.598814537976134,9.456347290870042,-8.935285577432058,28.13291465338433,1.0150657799173306,0.31007447239191055,baseline,car_raw
GLD,164,baseline,m5_p5,car_adj,surprise_bps,HC1,-0.0036937804371299093,0.043456321023315536,-5.827663871741321,3.135366187179428,-11.972868676957669,0.3175409334750273,-1.8586868403348704,0.06307153984568388,baseline,car_adj
TLT,183,baseline,m5_p5,car_adj,surprise_bps,HC1,0.1850084566939963,0.042574782263659516,-5.543220006127211,3.2826156094785737,-11.977028375794214,0.8905883635397918,-1.6886594915716382,0.09128470276561787,baseline,car_adj
IEF,183,baseline,m5_p5,car_adj,surprise_bps,HC1,0.13904366408555952,0.02342510865486347,-3.485007592829233,3.1990784246225,-9.755086088808467,2.785070903150001,-1.089378605415237,0.27598696203460493,baseline,car_adj
