ticker,n,spec,window,dep,shock,regime,cov_type,r2,n_high,n_low,shock_beta,shock_se,shock_ci_low,shock_ci_high,shock_t,shock_p,high_beta,high_se,high_ci_low,high_ci_high,high_t,high_p,inter_beta,inter_se,inter_ci_low,inter_ci_high,inter_t,inter_p,beta_high_regime,beta_high_regime_se,beta_high_regime_p,beta_low_regime
GLD,164,interaction,d0_p1,car_raw,surprise_bps,high_inflation,HC1,0.0632732822638914,48,116,-3.4369941145839675,0.8795474291400602,-5.16087539839328,-1.7131128307746541,-3.9076847941495787,9.318476497939672e-05,0.20110511673168524,0.444204269484307,-0.6695192532364811,1.0717294866998517,0.45273116569805943,0.6507423349499759,4.187038616746166,1.9471725932713224,0.37065046225091547,8.003426771241418,2.1503171476503713,0.03153013692793506,0.7500445021621991,1.7372039108521722,0.6659203139679558,-3.4369941145839675
IEF,183,interaction,d0_p1,car_raw,surprise_bps,high_inflation,HC1,0.11443217837297104,51,132,-1.3563384227968367,0.36848005844562676,-2.078546066371479,-0.634130779222194,-3.680900476726827,0.0002324117141504046,0.29481291520657904,0.14087833571502947,0.01869645100317846,0.5709293794099797,2.0926774419235787,0.03637795828601316,0.5585576169104459,0.6501250656858649,-0.7156640972805862,1.8327793311014782,0.859154101866819,0.3902555020171118,-0.7977808058863907,0.5356165116582555,0.136365573249288,-1.3563384227968367
QQQ,212,interaction,d0_p1,car_adj,surprise_bps,high_inflation,HC1,0.04924753760183975,62,151,-1.7464890812244525,1.2095701082865558,-4.117202930242316,0.6242247677934101,-1.44389239553752,0.14876924604683198,-0.11607980373807349,0.36554611295753103,-0.8325370198234446,0.6003774123472977,-0.31755173868189807,0.7508249874480825,0.8850767271611274,2.2138981286927715,-3.4540838705173273,5.2242373248395815,0.3997820476426952,0.6893170544663005,-0.8614123540633252,1.8542613293085202,0.6422478532939218,-1.7464890812244525
SPY,214,interaction,d0_p1,car_raw,surprise_bps,high_inflation,HC1,0.044521818875918995,62,153,-1.6437178049418082,1.0077774271631987,-3.6189252666141147,0.3314896567304989,-1.63103256794382,0.10288344768264247,-0.2653136725039577,0.3448433244168897,-0.9411941686701233,0.4105668236622079,-0.7693745353852737,0.4416710010665934,-0.16701257470486086,1.6979168273365552,-3.494868405029022,3.1608432556193016,-0.0983632248741217,0.9216438753280832,-1.810730379646669,1.3664941309251797,0.18514065407416902,-1.6437178049418082
TLT,183,interaction,d0_p1,car_raw,surprise_bps,high_inflation,HC1,0.05225323884261879,51,132,-1.9911385872668927,0.8899178061572507,-3.7353454365360013,-0.24693173799778428,-2.2374410012817,0.025257531303328976,0.4763029847956014,0.29493159822742765,-0.10175232563299408,1.0543582952241968,1.614960850781118,0.10631917315719985,1.5459216432377125,1.389769782982331,-1.1779770782097032,4.2698203646851285,1.1123580769760963,0.26598422225230467,-0.4452169440291802,1.0674766264303046,0.6766241464108769,-1.9911385872668927
XLB,213,interaction,d0_p1,car_adj,surprise_bps,high_inflation,HC1,0.020473299397679723,62,152,-0.8532337305204857,0.6463109351070522,-2.119979886144712,0.4135124251037405,-1.3201598242789436,0.1867816624308769,0.2598865041253023,0.26907597127897165,-0.2674927086866162,0.7872657169372208,0.9658480572977587,0.33412021708171236,-0.0009505817819034645,1.0238150493520024,-2.0075912053419263,2.0056900417781196,-0.0009284702178436534,0.9992591880544542,-0.8541843123023892,0.7940273486730111,0.2820337879054722,-0.8532337305204857
XLE,213,interaction,d0_p1,car_adj,surprise_bps,high_inflation,HC1,0.015692836211569583,62,152,1.4278719480723796,1.09938572238767,-0.7268844729250036,3.5826283690697625,1.2987906964730231,0.1940157683220307,-0.1971247125016491,0.4365383178638046,-1.0527240933864042,0.658474668383106,-0.4515633666851439,0.6515835657836806,-1.059232291179156,2.4091965169789917,-5.781170696137321,3.662706113779009,-0.43966205484448345,0.6601818889733975,0.36863965689322364,2.1437301347963187,0.8634675738863529,1.4278719480723796
XLF,213,interaction,d0_p1,car_adj,surprise_bps,high_inflation,HC1,0.007239660094510825,62,152,0.0003915525482309527,0.8329748987985365,-1.6322092491227969,1.6329923542192588,0.00047006524301718925,0.9996249422138388,0.002913887299403811,0.2908273115800966,-0.5670971691181942,0.5729249437170018,0.010019304182858008,0.9920058856328693,-1.010178570732994,1.4381939002420594,-3.8289868179926216,1.8086296765266339,-0.7023938639727042,0.48243357086834193,-1.009787018184763,1.172413968129446,0.3890790033897239,0.0003915525482309527
XLI,213,interaction,d0_p1,car_adj,surprise_bps,high_inflation,HC1,0.014544534821499089,62,152,-0.13000246180850586,0.30240148008092244,-0.7226984716387204,0.4626935480217087,-0.4299002166712851,0.667268227855504,0.09662752123027807,0.14554393645455235,-0.18863335238883078,0.3818883948493869,0.6639061961914919,0.506750350259895,-0.6416272875474823,0.5749437961974438,-1.7684964212292091,0.4852418461342444,-1.1159826261124461,0.2644295715405355,-0.7716297493559882,0.4889925496679832,0.11456584189981457,-0.13000246180850586
XLK,213,interaction,d0_p1,car_adj,surprise_bps,high_inflation,HC1,0.03797147556686575,62,152,-1.3685965282233572,1.1795869702052701,-3.680544506458408,0.9433514500116942,-1.160233677373696,0.24595367894224196,0.08102683836987432,0.37682191644028523,-0.6575305464384464,0.8195842231781951,0.21502687299960854,0.829746366953467,0.10337010474065281,2.43151799309201,-4.662317589480799,4.869057798962104,0.042512580632481145,0.9660900829234511,-1.2652264234827042,2.1262300746749263,0.5518058941268634,-1.3685965282233572
XLP,213,interaction,d0_p1,car_adj,surprise_bps,high_inflation,HC1,0.04818049756002829,62,152,0.4854532110918718,1.1781849677005631,-1.823746892727719,2.794653314911462,0.4120348030236032,0.6803139141683227,-0.047512444326643394,0.3420653458181676,-0.7179482024894907,0.6229233138362039,-0.1388987364768008,0.8895301694352468,2.2447833808284994,2.339668943047433,-2.3408834832913645,6.830450244948364,0.9594448768057995,0.3373346765986891,2.730236591920371,2.0213685821603917,0.1767956667076772,0.4854532110918718
