meeting_id,meeting_date,announcement_timestamp,scheduled,emergency,target_before,target_after,target_after_asof,raw_change_bps,surprise_bps,surprise_orth_bps,surprise_source,date_validated_official,official_source,official_release_title,hf_tnote02_bps,hf_tnote10_bps,hf_tbond_bps
FOMC19881102,1988-11-02,1988-11-02 11:30:00,True,False,8.125,8.125,1988-11-06,0.0,2.2141692943083493,0.7565623589888413,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,0.0,-0.17508983011166418
FOMC19881107,1988-11-07,1988-11-07 11:30:00,False,True,8.125,8.125,1988-11-07,0.0,3.252471727997006,0.9627521246061934,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,1.4278374189103853,0.7178490477020748
FOMC19881108,1988-11-08,1988-11-08 11:30:00,False,True,8.125,8.125,1988-11-13,0.0,4.2182158837249695,1.857068922412481,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,0.7127401604178325,2.149382273030194
FOMC19881215,1988-12-15,1988-12-15 11:30:00,True,False,8.375,8.6875,1988-12-20,31.25,5.00856530654848,1.133936062594287,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,3.1691846384500058,2.5507830990553417
FOMC19890106,1989-01-06,1989-01-06 11:30:00,False,True,9.0,9.0,1989-01-08,0.0,1.337732215398382,-2.09116688902411,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,0.0,-0.18163485776017282
FOMC19890109,1989-01-09,1989-01-09 11:30:00,False,True,9.0,9.0,1989-01-09,0.0,0.3500260329111845,-3.2328302336858434,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,0.0,-0.36144417251095157
FOMC19890110,1989-01-10,1989-01-10 11:30:00,False,True,9.0,9.0,1989-01-15,0.0,2.226861198828509,-1.196061557540748,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,0.488299959605286,0.0
FOMC19890209,1989-02-09,1989-02-09 11:30:00,True,False,9.0,9.125,1989-02-13,12.5,-1.894648285666347,-6.670473792430965,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-0.4815721278433631,-0.17694260214525506
FOMC19890214,1989-02-14,1989-02-14 11:30:00,False,True,9.125,9.3125,1989-02-19,18.75,3.9112065387911628,-0.2105063577895222,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,0.0,0.7263432382012514
FOMC19890223,1989-02-23,1989-02-23 11:30:00,False,True,9.3125,9.3125,1989-02-23,0.0,8.840998012765755,4.279444320607055,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,0.9875233124665674,-0.18422876053570508
FOMC19890224,1989-02-24,1989-02-24 09:00:00,False,True,9.3125,9.75,1989-02-24,43.75,7.443847193062349,2.790578082948512,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,3.949088805322534,4.60005263513337
FOMC19890224,1989-02-24,1989-02-24 11:30:00,False,True,9.3125,9.75,1989-03-01,43.75,-3.491318962276233,-8.14458807239007,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-0.4952415389065664,-0.7393558669509243
FOMC19890329,1989-03-29,1989-03-29 11:30:00,True,False,9.75,9.75,1989-04-03,0.0,-1.321145685388759,-4.2816817867183605,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-1.4825199080831877,-1.104337583434936
FOMC19890517,1989-05-17,1989-05-17 11:30:00,True,False,9.75,9.8125,1989-05-22,6.25,-0.6700939895675033,-1.89183999225747,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-0.7088963076526299,0.0
FOMC19890606,1989-06-06,1989-06-06 11:30:00,False,True,9.8125,9.5625,1989-06-11,-25.0,-4.363976425636587,-5.019781686512262,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-1.8235922260980992,-1.4814187337432607
FOMC19890707,1989-07-07,1989-07-07 11:30:00,True,False,9.5625,9.3125,1989-07-12,-25.0,-2.131138566008769,-2.229608297337507,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-1.7782530487373056,-0.7833225445771789
FOMC19890725,1989-07-25,1989-07-25 11:30:00,False,True,9.3125,9.3125,1989-07-25,0.0,-1.964032549094074,-1.839354196586756,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-0.8870029303925595,-0.6294404275385099
FOMC19890726,1989-07-26,1989-07-26 11:30:00,False,True,9.3125,9.3125,1989-07-26,0.0,-0.5443436126552971,-0.104273099541654,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-0.6638400883364713,-0.7843688004556972
FOMC19890727,1989-07-27,1989-07-27 11:30:00,False,True,9.3125,9.0625,1989-08-01,-25.0,-0.6637480373079447,-0.33021179321603117,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,0.0,0.46770943381461055
FOMC19890823,1989-08-23,1989-08-23 11:30:00,True,False,9.0625,9.0625,1989-08-28,0.0,-1.468981972934222,-1.774948268218225,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-0.9081693585077344,-0.641782493159075
FOMC19891004,1989-10-04,1989-10-04 11:30:00,True,False,9.0625,9.0625,1989-10-09,0.0,1.3258957564486669,-0.4632610328998874,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,0.2264523647112324,0.4790776608025574
